Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Albania,ALB,"Population, total",SP.POP.TOTL,1610565,1661158,1712563,1764593,1817098,1869942,1922993,1976140,2029314,2082474,2135599,2188650,2241623,2294578,2347607,2400801,2454255,2508026,2562121,2616530,2671300,2725029,2777592,2831682,2891004,2957390,3033393,3116009,3194854,3255859,3289483,3291695,3266983,3224901,3179442,3141102,3112597,3091902,3079037,3072725,3071856,3077378,3089778,3106701,3124861,3141800,3156607,3169665,3181397,3192723,3204284,3215988,
Albania,ALB,Income share held by fourth 20%,SI.DST.04TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.01,,,,,22.7,,22.62,22.29,,,20.94,,,,
Albania,ALB,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.71,,,,,22.58,,24.41,26.05,,,28.99,,,,
Albania,ALB,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.95,,,,,37.41,,39.51,41.17,,,43.02,,,,
Albania,ALB,Income share held by lowest 10%,SI.DST.FRST.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78,,,,,3.95,,3.45,3.3,,,3.53,,,,
Albania,ALB,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.72,,,,,9.09,,8.18,7.81,,,8.14,,,,
Albania,ALB,Income share held by second 20%,SI.DST.02ND.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.02,,,,,13.38,,12.69,12.21,,,12.05,,,,
Albania,ALB,Income share held by third 20%,SI.DST.03RD.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,17.42,,17,16.52,,,15.85,,,,
Albania,ALB,Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Albania,ALB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.685551759,7.967623178,49.87221458,18.60971466,16.14202377,8.952242553,6.759000682,5.793296476,4.635141908,3.808169387,4.169584315,2.756123901,3.312652914,2.9,,,,
Albania,ALB,"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Internally displaced persons (number, low estimate)",VC.IDP.TOTL.LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Losses due to theft, robbery, vandalism, and arson (% sales)",IC.FRM.CRIM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,0.01,,0.47,,,,,
Algeria,DZA,GINI index,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.19,,,,,,,35.33,,,,,,,,,,,,,,,,,
Algeria,DZA,GDP (constant 2000 US$),NY.GDP.MKTP.KD,13828152297,11946771141,9595044251,12887461719,13640013825,14486635612,13790556982,15094173154,16723776097,18134139015,19741305571,17504276281,22304643652,23155159027,24890619160,26146435917,28339273834,29829518900,32578260067,35014405842,35291232178,36349967756,38676367201,40764892197,43047724737,44640489378,44819051777,44505319532,44060263881,45998916445,46366908062,45810504880,46635095028,45655757681,45244857431,46964159665,48889689496,49427476044,51948279105,53610624834,54790058957,56214597843,58856686557,62917798908,66189522629,69565187811,70956491567,73085186314,74839230786,76635372324,79164339611,81143448101,
Algeria,DZA,GDP (constant LCU),NY.GDP.MKTP.KN,63672324096,55009423360,44180795392,59340873728,62806032384,66704338944,63499214848,69501771776,77005348864,83499425792,90899693568,80599195648,1.02703E+11,1.06619E+11,1.1461E+11,1.20392E+11,1.30489E+11,1.37351E+11,1.50008E+11,1.61225E+11,1.625E+11,1.67375E+11,1.78087E+11,1.87704E+11,1.98215E+11,2.05549E+11,2.06371E+11,2.04927E+11,2.02877E+11,2.11804E+11,2.13498E+11,2.10936E+11,2.14733E+11,2.10224E+11,2.08332E+11,2.16249E+11,2.25115E+11,2.27591E+11,2.39198E+11,2.46852E+11,2.52283E+11,2.58843E+11,2.71008E+11,2.89708E+11,3.04773E+11,3.20316E+11,3.26722E+11,3.36524E+11,3.446E+11,3.52871E+11,3.64516E+11,3.73629E+11,
Algeria,DZA,GDP (current LCU),NY.GDP.MKTP.CN,13446652928,12020492288,9881251840,13344784384,14363469824,15484023808,15007967232,16642189312,19018280960,21018314752,24011524096,24942362624,30318497792,34504847360,55227170816,61444505600,73817292800,86966280192,1.04559E+11,1.28097E+11,1.625E+11,1.914E+11,2.076E+11,2.337E+11,2.676E+11,2.913E+11,2.995E+11,3.237E+11,3.495E+11,4.233E+11,5.558E+11,8.445E+11,1.0482E+12,1.166E+12,1.4915E+12,1.9906E+12,2.57E+12,2.7802E+12,2.8305E+12,3.2382E+12,4.1235E+12,4.2608E+12,4.5461E+12,5.2643E+12,6.1267E+12,7.499E+12,8.512E+12,9.4101E+12,1.1043E+13,1.0034E+13,1.2049E+13,1.3762E+13,
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2723637620,2434766866,2001460839,2703004010,2909340115,3136284385,3039859268,3370870461,3852147113,4257253358,4863487557,5077222330,6761786484,8715106129,13209713770,15557934473,17728348385,20971901063,26364491675,33243421339,42345276288,44348670724,45207090668,48801372228,53698280323,57937867717,63696299985,66742269090,59089065517,55631488294,62045098370,45715368144,48003297249,49946456681,42542573602,41764054035,46941496308,48177861891,48187780126,48640613515,54790058957,55180990396,57053038888,68018606041,85013944728,1.02339E+11,1.17169E+11,1.35804E+11,1.70989E+11,1.3812E+11,1.61979E+11,1.88681E+11,
Algeria,DZA,GNI (constant 2000 US$),NY.GNP.MKTP.KD,14747652561,12646232073,10151767160,12960266073,13532797961,14141137369,13370070535,14763139479,16442053722,17989866940,19297670773,17271536887,22080682632,22838123400,24576443567,25697203709,27699288280,29160089077,31730729210,33730054227,34020137607,34994374066,37266718333,39434526309,41596502244,43156630781,43646373193,43364336340,42581934997,44474076261,44792284505,43676691668,44672321822,44125547777,43530372573,44799023054,46494666331,47298844991,50012140172,51379885081,52080059226,54360275061,56572913153,60359747761,63303519616,65754161267,67643259418,71547975986,,,,,
Algeria,DZA,GNI (constant LCU),NY.GNP.MKTP.KN,68450785362,58697105435,47119121638,60154684792,62812074314,65635663359,62056779864,68522667428,76315297341,83499425792,89569557910,80165318478,1.02487E+11,1.06002E+11,1.14071E+11,1.19273E+11,1.28565E+11,1.35346E+11,1.47277E+11,1.56557E+11,1.57903E+11,1.62425E+11,1.72972E+11,1.83034E+11,1.93069E+11,2.0031E+11,2.02583E+11,2.01274E+11,1.97643E+11,2.06425E+11,2.07902E+11,2.02724E+11,2.07345E+11,2.04807E+11,2.02045E+11,2.07933E+11,2.15804E+11,2.19536E+11,2.3213E+11,2.38478E+11,2.41728E+11,2.52312E+11,2.62581E+11,2.80158E+11,2.93821E+11,3.05196E+11,3.13964E+11,3.32088E+11,,,,,
Algeria,DZA,GNI (current LCU),NY.GNP.MKTP.CN,15904923648,14673574912,10876915712,13647450112,14365736960,15084023808,14407966720,16242189312,18718279680,21018314752,23411523584,24742361088,30218498048,34204846080,54927171584,60744503296,72517287936,85466284032,1.02259E+11,1.23897E+11,1.57903E+11,1.85994E+11,2.01573E+11,2.27834E+11,2.60238E+11,2.83404E+11,2.92776E+11,3.16279E+11,3.37611E+11,4.08919E+11,5.37078E+11,8.0349E+11,1.00103E+12,1.12515E+12,1.43068E+12,1.88622E+12,2.42984E+12,2.65209E+12,2.71302E+12,3.08575E+12,3.91955E+12,4.13031E+12,4.36839E+12,5.05535E+12,5.86728E+12,7.12676E+12,8.18509E+12,9.28537E+12,1.0959E+13,1.01398E+13,1.15698E+13,1.32139E+13,
Algeria,DZA,GNI (current US$),NY.GNP.MKTP.CD,3221563658,2972152317,2203133894,2764309360,2909799326,3055264505,2918329344,3289850581,3791381943,4257253358,4741958619,5036510378,6739484029,8639332920,13137957352,15380691774,17416132396,20610177289,25784547063,32153447204,41147474632,43096071878,43894593853,47576472468,52220899424,56367300462,62266299490,65212266955,57078992423,53741486606,59955097723,43495371126,45843295440,48196458746,40807745357,39574054587,44381497307,45957862428,46187778797,46350611900,52080059226,53490989044,54822811331,65318781837,81414292672,97259100183,1.12669E+11,1.34004E+11,1.69689E+11,1.39577E+11,1.55538E+11,1.81167E+11,
Algeria,DZA,"Population, total",SP.POP.TOTL,10799997,11006643,11209845,11420845,11654905,11923002,12229853,12572629,12945462,13338918,13746185,14165889,14600659,15052371,15524137,16018195,16533323,17068212,17624756,18205468,18811199,19442423,20095648,20762767,21433070,22098298,22753511,23398470,24035237,24668100,25299182,25930560,26557969,27169903,27751086,28291591,28786855,29242917,29673694,30099010,30533827,30982214,31441848,31913462,32396048,32888449,33391954,33906605,34428028,34950168,35468208,35980193,
Algeria,DZA,Income share held by fourth 20%,SI.DST.04TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.67,,,,,,,22.63,,,,,,,,,,,,,,,,,
Algeria,DZA,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.67,,,,,,,26.89,,,,,,,,,,,,,,,,,
Algeria,DZA,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.18,,,,,,,42.62,,,,,,,,,,,,,,,,,
Algeria,DZA,Income share held by lowest 10%,SI.DST.FRST.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,,,,,,,2.87,,,,,,,,,,,,,,,,,
Algeria,DZA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,,,,,,,6.97,,,,,,,,,,,,,,,,,
Algeria,DZA,Income share held by second 20%,SI.DST.02ND.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.79,,,,,,,11.55,,,,,,,,,,,,,,,,,
Algeria,DZA,Income share held by third 20%,SI.DST.03RD.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.82,,,,,,,16.23,,,,,,,,,,,,,,,,,
Algeria,DZA,Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,228,800,2341,3978,1084,1324,3024,1016,1010,1006,535,670,368,253,255,468,339,499,236,,
Algeria,DZA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,
Algeria,DZA,"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000,200000,200000,1000000,1000000,,,,,,,
