GEO.display-label,GEO.id,HC01_VC85,HD01_VD01,HC01_VC73,HC01_VC72,HC01_VC74,HC01_VC75,HC01_VC156,HC01_VC76,GEO.id2,HD02_VD01,HC01_VC38,HC01_VC77
"Broward County, Florida",0500000US12011,48063,179600,492406,1154051,10748,71403,0,4452,12011,4122,1753578,69549
"Charlotte County, Florida",0500000US12015,42031,147800,10458,147579,1073,2355,0,0,12015,11606,159990,701
"Citrus County, Florida",0500000US12017,35459,119900,4650,132243,1138,2291,0,0,12017,8066,141129,2286
"Clay County, Florida",0500000US12019,58263,169700,21009,162603,2579,7153,0,0,12019,6148,191395,3986
"Collier County, Florida",0500000US12021,52730,255500,23527,281762,985,4272,0,0,12021,13937,322472,16993
"Columbia County, Florida",0500000US12023,32488,118800,11603,53643,0,942,0,0,12023,6756,67597,1622
"Duval County, Florida",0500000US12031,46078,158700,268165,557369,7102,43930,0,1701,12031,3319,865876,12840
"Escambia County, Florida",0500000US12033,41483,139300,72343,217778,5750,11628,0,1066,12033,6188,298043,2174
"Flagler County, Florida",0500000US12035,43993,172800,11387,80414,566,2534,0,0,12035,9363,95928,3641
"Hernando County, Florida",0500000US12053,37459,125900,9390,156996,1346,2668,0,0,12053,6711,173008,5281
"Highlands County, Florida",0500000US12055,34561,108800,10201,84385,1793,1594,0,0,12055,7015,98700,1902
"Hillsborough County, Florida",0500000US12057,46117,165100,222948,928187,21819,51113,0,3497,12057,2606,1233846,42553
"Indian River County, Florida",0500000US12061,47335,163900,13042,124083,697,1958,0,0,12061,8526,138268,789
"Lake County, Florida",0500000US12069,42033,153300,30992,255260,2438,6729,0,0,12069,4852,297950,7708
"Lee County, Florida",0500000US12071,43936,149500,56572,528621,4535,11909,0,0,12071,7375,620151,29076
"Leon County, Florida",0500000US12073,41694,190300,86741,181331,2030,9446,0,304,12073,9892,276058,2104
"Manatee County, Florida",0500000US12081,44785,165600,30388,275141,2053,6483,0,0,12081,6572,323435,14428
"Marion County, Florida",0500000US12083,37044,118100,43801,273989,2705,5898,0,0,12083,3784,331290,11388
"Martin County, Florida",0500000US12085,48311,188400,9076,129881,2185,1940,0,0,12085,16895,146393,4958
"Miami-Dade County, Florida",0500000US12086,40219,207100,487723,1891076,7672,45706,0,903,12086,4078,2505379,102856
"Monroe County, Florida",0500000US12087,50619,387900,5116,66999,0,595,0,0,12087,33119,73269,579
"Nassau County, Florida",0500000US12089,60729,206000,5362,67076,250,825,0,0,12089,14123,73473,350
"Okaloosa County, Florida",0500000US12091,51529,180800,21074,151740,2482,7859,0,0,12091,6467,180728,3044
"Orange County, Florida",0500000US12095,45140,174200,253326,796316,8487,66077,0,6076,12095,2815,1149500,60057
"Osceola County, Florida",0500000US12097,42413,129900,34452,212845,1897,9298,0,0,12097,9478,269837,20137
"Palm Beach County, Florida",0500000US12099,49879,199500,238580,1029010,6730,37634,0,958,12099,5529,1323394,32289
"Pasco County, Florida",0500000US12101,42220,123900,24670,426724,3692,13003,0,0,12101,4792,465543,6863
"Pinellas County, Florida",0500000US12103,42616,154600,102385,782817,6405,33045,0,1385,12103,3599,916719,9340
"Polk County, Florida",0500000US12105,41174,119100,93904,482993,5159,11750,0,740,12105,3603,602788,19082
"Putnam County, Florida",0500000US12107,33842,89000,13338,59490,878,0,0,0,12107,16442,74262,1898
"St. Johns County, Florida",0500000US12109,58888,255900,11694,174035,1434,5139,0,0,12109,16561,191323,1609
"St. Lucie County, Florida",0500000US12111,38671,126000,57945,209632,4351,5579,0,496,12111,6107,278689,12399
"Santa Rosa County, Florida",0500000US12113,50517,163500,9315,137909,3504,4140,0,0,12113,7876,151966,1484
"Sarasota County, Florida",0500000US12115,45641,179500,20376,353114,3788,6095,0,0,12115,7907,379874,5008
"Seminole County, Florida",0500000US12117,57802,194200,50583,353983,3018,19431,0,1112,12117,5684,423508,8462
"Sumter County, Florida",0500000US12119,45026,188800,9910,83041,679,0,0,0,12119,8734,94074,905
"Volusia County, Florida",0500000US12127,41556,151600,57380,408601,5651,9773,0,0,12127,3522,494527,25216
"Barrow County, Georgia",0500000US13013,54230,138700,8180,60101,0,2272,0,0,13013,5173,69731,0
"Bartow County, Georgia",0500000US13015,42844,136100,11687,83761,632,0,0,0,13015,7123,100195,5410
"Bibb County, Georgia",0500000US13021,35651,129300,82312,70831,1001,3413,0,0,13021,6358,155715,1691
"Bulloch County, Georgia",0500000US13031,29170,125100,20084,47447,589,1214,0,0,13031,16337,70729,2575
"Carroll County, Georgia",0500000US13045,46032,133400,22095,86339,1122,760,0,0,13045,8174,110661,2319
"Chatham County, Georgia",0500000US13051,42763,173100,108911,146813,1298,7870,0,0,13051,6249,265871,4472
"Cherokee County, Georgia",0500000US13057,61834,194200,14453,191489,2105,4795,0,554,13057,7526,215129,6454
"Clarke County, Georgia",0500000US13059,34230,161400,31925,78899,590,5596,0,0,13059,5720,116668,3023
"Clayton County, Georgia",0500000US13063,35672,109400,176256,55958,4321,13740,0,0,13063,4241,259623,17168
"Cobb County, Georgia",0500000US13067,59896,206700,179990,440088,5149,34990,0,461,13067,6004,690063,43914
"Columbia County, Georgia",0500000US13073,62359,179200,20353,98592,0,5835,0,0,13073,9067,124815,1481
"Coweta County, Georgia",0500000US13077,55343,178700,23804,103553,807,2435,0,729,13077,8804,127955,2058
"DeKalb County, Georgia",0500000US13089,46812,176100,382010,252969,5540,40040,0,308,13089,6126,692902,23551
"Dougherty County, Georgia",0500000US13095,28444,97400,64059,27896,451,838,0,0,13095,8431,94577,1676
"Douglas County, Georgia",0500000US13097,53092,145900,55031,73322,0,2292,0,0,13097,9569,132722,3787
"Fayette County, Georgia",0500000US13113,79659,234300,22366,79914,1660,4948,0,0,13113,11029,106945,1780
"Floyd County, Georgia",0500000US13115,36934,112600,15234,79625,1240,1812,0,0,13115,10257,96274,1179
"Forsyth County, Georgia",0500000US13117,79825,262900,5636,155753,1024,12368,0,0,13117,10698,176738,5070
"Fulton County, Georgia",0500000US13121,52831,244300,418998,429573,7028,59764,0,0,13121,7932,926197,29062
"Glynn County, Georgia",0500000US13127,41854,145400,21477,54598,0,1115,0,0,13127,37965,79816,3643
"Gwinnett County, Georgia",0500000US13135,57548,180600,200113,449534,4009,91530,0,1331,13135,3985,808719,81901
"Hall County, Georgia",0500000US13139,47002,180600,15467,150148,1958,4280,0,0,13139,15141,180253,13517
"Henry County, Georgia",0500000US13151,57341,158500,78079,117174,2243,6874,0,0,13151,5554,205265,4588
"Houston County, Georgia",0500000US13153,58401,136400,42818,91351,1330,4641,0,0,13153,8479,140713,5255
"Lowndes County, Georgia",0500000US13185,36132,136600,40606,65128,1315,2526,0,0,13185,11272,109734,2607
"Muscogee County, Georgia",0500000US13215,35384,135100,90058,94468,2211,5592,0,239,13215,6115,190417,4653
"Newton County, Georgia",0500000US13217,49397,134500,43802,55113,0,1195,0,0,13217,5822,100086,1380
"Paulding County, Georgia",0500000US13223,60169,138800,25430,115445,892,1940,0,0,13223,5235,142741,1723
"Richmond County, Georgia",0500000US13245,39152,95500,113202,84839,1541,4715,0,840,13245,4758,201005,2674
"Rockdale County, Georgia",0500000US13247,57266,163800,41063,40543,0,1677,0,0,13247,6635,85434,3436
"Troup County, Georgia",0500000US13285,41477,135600,23268,43185,0,1164,0,0,13285,10040,67187,514
"Walker County, Georgia",0500000US13295,36927,109000,3645,63923,529,0,0,0,13295,13603,68761,1270
"Walton County, Georgia",0500000US13297,50173,166400,14794,66755,0,360,0,0,13297,9291,84004,2117
"Whitfield County, Georgia",0500000US13313,39423,126600,5037,91687,1336,1920,0,0,13313,8182,102934,7687
"Hawaii County, Hawaii",0500000US15001,47100,322700,3334,100245,7207,82400,0,61617,15001,13372,185406,11854
