country,program,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010
Cuba,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,547,125",,,,,,,,,"1,903,701","721,101","530,689","2,490,273","600,460","594,821"
Cuba,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333
Cuba,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"277,789","687,177","1,672,827","775,686","802,473","1,187,700","803,857","740,390","528,995","950,273","1,122,612","935,504","1,011,764","1,347,416","1,320,645","137,183","3,797,332","3,302,538","1,410,128",,"2,449,340"
Cuba,Other USAID Assistance,,,,,,,"698,493","1,372,010","1,356,124","3,363,664","3,278,433","3,793,295","3,068,671","2,418,913","1,791,787","5,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,450","111,270","107,590","45,976","1,708,163","208,171","803,058"
Cuba,Title II,,,,,,,,,,,,,,"6,047","3,583,575","5,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,088",,,,,,,
Cyprus,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,926,000","41,694,979","38,590,751","35,458,891","30,125,314","30,209,050","28,936,373","27,905,869","27,029,150","25,281,432","25,733,117","16,622,348","32,001,726","7,683,957","22,240,617","21,738,083","14,178,135","41,651,968",,"12,506,204","5,239,317","59,496","19,477,675","257,865","19,132,175","14,444,750","1,188,385","8,386,843","38,329,311","26,182,491","14,742,941","16,036,569","10,089,716","14,720,368"
Cyprus,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,802",,,,,,,,,,,,,,,,,
Cyprus,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"458,432","268,976",,"279,758",,"50,000"
Cyprus,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,"198,905",,"169,555"
Cyprus,Other USAID Assistance,,,,,,,,,,,,,,,,"5,890","4,077,958","4,027,353","2,274,297","558,584","1,094,100","5,301",,,,,,,,"85,460,829","31,891,660","61,833,843",,,,,,,,,,,,,,,,,,,,,,,,,,"6,810","52,805","23,939","344,151","233,745","209,734","409,437","467,801","532,516"
Cyprus,Peace Corps,,,,,,,,,,,,,,,,,"582,565","575,336","568,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Title I,,,,,,,,,,,,,,,,,,"3,452,017","3,411,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Title II,,,,,,,,,,,,,,,,"48,301,429","39,037,710","1,150,672","2,274,297","5,586","547,050","5,301,096","512,057",,,"5,309,105","18,164,806","8,500,073","4,154,684","3,076,590",,,,"2,112,546","3,869,366","567,342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,827",,"288,112",,,,,,,,364,,,,,,
Czech Republic,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,658"
Czech Republic,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102,824","805,877","1,886,111","376,750","2,392,987","1,040,343","233,662","479,458","8,607,233","28,459,679","3,597,029","4,610,194","18,885,331"
Czech Republic,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"242,531","293,490","271,086",,,,,,,,,"2,471,518","2,370,051","2,190,541","2,642,323","2,329,952","2,055,518",
Czech Republic,Other USAID Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,523,179","7,233,484","297,331",,,,"162,554","473,137","19,433",,,,,,,
Czech Republic,Peace Corps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,759,065","2,658,873","2,035,327","1,413,884","561,917",,,,,,,,,,,,,
Denmark,Inactive Programs,,"8,532,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87,671","142,422"
Denmark,Other USAID Assistance,,,,"950,619,715","639,438,747","358,302,482","99,186,064","52,822,380","-1,356,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Title II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"341,843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"574,504",,"53,795","78,330",,,
Djibouti,Department of Defense Security Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,474",,,,,
Djibouti,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"188,046","166,692","2,587,431","138,685","126,881","844,291",,"2,419,774","3,437,040","6,592,000"
Djibouti,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,303,616","4,027,873","3,831,176","5,581,174","6,306,802","5,899,881","3,487,695","5,664,896","4,870,663","4,983,229","5,974,647","2,898,411","2,835,627","1,388,445",,,,,,,,,"2,355,712","22,980,173","1,094,897","4,921,427","7,288,463",,"175,378","156,054"
Djibouti,Global HIV/AIDS Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84,144","533,469","360,802","294,517",
Djibouti,Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"506,422","499,773","458,760"
Djibouti,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122,288",,,,,,"104,440","102,101","876,618","1,150,000"
Djibouti,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333,718","285,000"
Djibouti,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"933,822","489,153","486,032","412,460",,,"164,086","371,062",,,"691,305"
Djibouti,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118,074",,,,,"2,450,339","185,153","1,076","44,327","1,040,964","2,540,132","7,298,858"
Djibouti,Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,295,940","2,880,940",,,,,,,,,
Djibouti,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,277",,"20,420","20,152","350,000"
Djibouti,Other USAID Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191,797","2,966,342","2,706,695","4,690,942",,,,"432,466","70,446","188,710","74,801","72,004","69,447","89,218","86,952","85,069","131,902","88,374",,,,,,"17,513","9,617","-4,425","658,497","820,044","760,759","543,980","928,522","1,845,859","1,643,330"
Djibouti,Title II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,735,191","1,242,622","2,016,429","2,435,847","3,467,999","2,667,934","2,451,996","2,612,818",,,"39,894",,,,,"720,675",,"2,337,431",,,"561,588","1,983,253","1,786,278","150,170","1,504,653","4,033,272","1,142,689","1,712,890","2,302,112","1,038,966","2,792,164",,"1,984,800"
Dominica,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,704",166
Dominica,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,680",,,,
Dominica,Other USAID Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,381",,"60,860",,,
Dominican Republic,Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,461,267","4,130,847","7,808,099","11,467,463","14,782,693","15,492,015","15,261,987","14,170,437","12,381,865","36,224",,
Dominican Republic,Department of Defense Security Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,901",,,,,
Dominican Republic,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,140,057","8,699,814","11,604,999","7,927,543","11,710,985","13,511,350","8,208,517","8,623,748","16,796,866","13,719,208","25,507,794","26,921,711"
Dominican Republic,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,"145,641,361","137,505,326",,"225,109,488","396,611,357","170,695,283","83,977,358","4,895",,,,,,,,,,,,,,"82,571,403","15,432,732","63,253,302","171,184,615","70,446,344","283,064","22,997,019",,,,"7,246,028","2,406,029",,"1,181,496","266,771","392,949","3,233,465","2,935,884","4,441,287","4,265,411","2,767,013","3,564,835","4,718,991","3,489,174","2,059,105","2,115,301","12,272,245","1,339,437","5,400,000"
Dominican Republic,Food For Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,189,488",,,"3,791,441",,,,,,
Dominican Republic,Global HIV/AIDS Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,664","306,464","101,627","221,031","308,139","56,060"
Dominican Republic,Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,037,602","11,900,284","22,044,853"
Dominican Republic,Inactive Programs,"1,882,741","1,706,595","779,202","7,539",,"726,780",,,,,,,,,,,,"37,396,846",,"10,613,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,452","208,879","775,816",,"2,000,000"
Dominican Republic,Millennium Challenge Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,779","31,820",,,
Dominican Republic,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,947,142","1,088,059","691,386","267,655","608,666","567,125","416,534","322,226","313,455","327,457","472,086","912,677","876,240","99,053",,,"1,217,551","2,892,340","2,316,523","906,237","964,397","13,224,397","7,724,005"
Dominican Republic,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"123,510","152,590","521,297",,,"212,180"
Dominican Republic,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,112,187",,"3,777",,"637,833",,"71,213",,"41,163","141,836","1,258,808","1,707,818","2,029,404","347,893","389,220","757,298","564,413","626,663","264,014","577,184","1,244,594","492,730","798,229","1,056,607","966,679","913,689","497,735","1,303,733","1,821,364","1,464,803","3,301,760","5,168,028","3,981,656","1,177,734","738,322","3,948,542","17,360,233","2,132,814","4,010,324","4,558,777"
Dominican Republic,Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,127,665",,,,,,,,,,"24,994,957",,"772,027","273,582","2,353,027",,,,,,,
Dominican Republic,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,731","59,479","181,151","74,363",,"204,464",,,,,,"24,458",,,,"29,965","42,821","20,888","40,344","20,152",
Dominican Republic,Other USAID Assistance,,,,,,,"1,396,987","2,058,015","1,356,124","2,018,198","1,967,060","1,264,432","1,227,468","1,209,457","1,791,787","589,042","5,825,654","32,794,157","1,705,723","70,940,211","119,256,932","113,973,559","138,767,464","60,207,203","24,158,831","59,727,435","29,148,178","4,047,654","47,590,020","19,143,226","50,707,739","618,338","2,706,086","3,605,226","68,017,486","81,886,399","37,426,399","38,359,451","51,171,082","56,455,433","55,081,803","47,882,380","34,108,389","30,937,515","32,203,336","27,772,745","20,673,350","15,919,523","25,252,675","14,882,744","11,401,640","7,346,861","14,058,398","14,954,129",,,"2,957,730","3,565,298","3,056,829","3,753,314","3,451,110","3,164,423","2,740,838","6,776,354","5,942,230","6,642,133"
Dominican Republic,Other USDA Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,600"
Dominican Republic,Peace Corps,,,,,,,,,,,,,,,,,"1,165,131","7,479,369","6,822,892","6,144,428","4,923,451","4,240,877","5,120,571","3,916,234","2,787,557","2,212,127","2,112,187","2,023,827","1,888,493","2,051,060","2,232,416","927,508","3,308,428","2,635,123","3,339,386","3,309,496","4,032,488","4,456,842","4,184,200","4,308,666","4,492,245","4,341,256","4,043,531","4,147,276","4,277,031","3,464,648","3,393,267","3,196,947","3,663,630","3,754,356","2,679,780","3,609,406","3,528,680","3,593,026","4,077,049","4,382,453","4,086,870","3,754,716","3,641,435","3,141,390","2,365,369","2,924,860","3,058,585","3,201,336","4,161,415","4,341,200"
Dominican Republic,Title I,,,,,,,,,,,,,,,,,,"27,616,132","27,291,569","18,433,283",,,"51,717,763","31,329,872","36,238,246","25,218,250","52,804,670","39,262,241",,,,,"7,418,000",,"35,760,763","35,458,891","30,555,676","32,525,077","44,369,105","53,021,150","72,978,704","52,834,758","22,816,698","33,244,697","32,001,726",,,,,"99,544,580",,,,,,,,,,,,"8,306,772",,,"1,205,526","8,195,752"
Dominican Republic,Title II,,,,,,,,,,,,,,,,,"4,660,524","46,026,887","46,623,097","38,542,319","29,540,708","22,794,712","20,994,340","33,287,989","28,804,760","31,412,207","27,458,428","18,214,442","15,867,117","18,804,801","36,356,492","3,091,692","27,826,402","10,801,779","17,396,711","11,018,259","9,373,276","6,283,482","4,394,471","5,218,397","3,436,306","3,078,505","2,684,822","5,550,202","8,128,438","7,756,491","7,445,261","5,188,880","3,362,628","6,357,274","4,031,906","5,748,906","539,650",,"13,843,458","123,300","2,044,780",,,,"91,600",,"208,556","234,455","115,850","124,200"
East Africa (not specified),Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,013,835",,,
East Africa (not specified),Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,611","21,208,302",,,"18,449"
East Africa (not specified),Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"438,157",,,"241,256",,,"175,000"
East Africa (not specified),Global HIV/AIDS Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"800,335",,,
East Africa (not specified),Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,345,541","58,287,404","10,347,088","255,294","4,381,201",,,,,,,"20,888",,,
East Africa (not specified),Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,933,399",,"231,065",,,,,,,"122,662","76,505"
East Africa (not specified),Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120,305",,,,,,"661,270","841,613","670,000"
East Africa (not specified),Other USAID Assistance,,,,,,,,,,,,,,,,"7,068,502","12,233,874","12,082,058","11,940,061","12,847,440","12,035,103","12,192,520","13,825,541","20,560,229","20,906,681","6,193,956","5,491,686","4,047,654","2,643,890","2,051,060","3,508,083","618,338","3,044,347","1,198,036",,,,,,,,,,,,,,,,,,,"1,346,505","18,272,958",,,"733,729",,"294,614",,"279,754",,"6,442,580","1,574,422","1,481,188","1,946,945"
East Africa (not specified),Title I,,,,,,,,,,,,,,,,,,,,,"14,223,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Africa (not specified),Title II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"353,537","953,677","778,890","758,705","1,253,276","122,522",,"1,500,000"
Eastern Europe (not specified),Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,261",,
Eastern Europe (not specified),Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"361,175","215,181",,"209,802","843,007","168,150"
Eastern Europe (not specified),Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,094,250",,,,,,,,"455,332",,,,,,,,,,
Eastern Europe (not specified),Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129,963",,"400,000"
Eastern Europe (not specified),Inactive Programs,"1,061,865,990","666,425,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe (not specified),Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,602,182","2,030,235",,"10,467,064","63,223,295","18,070,038","3,609,146",,,,"17,651,721","5,356,902","8,953,853","856,475",
Eastern Europe (not specified),Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"158,748","245,675","121,920","152,827"
Eastern Europe (not specified),"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"157,666",,,"1,798,706",,
Eastern Europe (not specified),Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,586,533","196,005","125,747","3,765,664","332,786","547,034","6,589,597","6,855,540"
Eastern Europe (not specified),Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,471,534","17,704,247",,,,,,,,,
Eastern Europe (not specified),Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,828,756","661,523","792,382","455,621",,,,,"25,868",,,,,,,,,,"807,045",,
Eastern Europe (not specified),Other USAID Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"566,682,835","353,557,306","649,373,053","109,093,274","61,922,782","231,429,812","84,718,078",,,"8,245,884","13,991,042","-419,459","7,847,995","492,296","4,732,652","6,251,488","16,691,465","13,564,480","14,031,642"
Eastern Europe (not specified),Peace Corps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"512,367","1,417,083","1,891,213","2,505,276","3,536,370",,,"2,902,582",,,,,,,,,,,,,
Eastern Europe (not specified),Title II,,,,,,,"6,985",,,"13,454,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,331,096","130,852,698",,,,,,,,"41,551,072","2,102,930",,,"111,260",,,,,
Eastern Europe (not specified),"Voluntary Contributions to Multilateral Organizations, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,670,865","44,786,791","46,090,176","63,258,543","45,631,734","40,536,781","41,890,581","1,081,843",,"4,568,091",,
Ecuador,Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,489,119","688,475",,,"1,414","57,416",,,"2,088,793",,,
Ecuador,Department of Defense Security Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,000"
Ecuador,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,980,667","14,669,514","8,816,547","8,609,765","9,029,811","7,356,355","7,941,059","6,574,898","9,336,587","10,155,086","8,667,106","21,885,409"
Ecuador,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,"46,605,236","40,273,526",,,"54,705,015",,,,,,,,,,,,,,,,,,,,"7,953,778","35,603,582","33,168,273",,"14,560,785","179,020",,"8,985,074",,,,,"392,949","1,293,386","1,531,766","6,884,745","21,673,743","20,746,085","21,092,233","14,777,975","14,883,167","4,542,014","6,197,396","6,463,383","41,873","923,203"
Ecuador,Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,042,026","352,662",
Ecuador,Inactive Programs,"5,648,223","5,973,083","4,675,210","3,769,309","4,594,769","5,087,459",,,,,,,,,,,"79,228,901","54,656,929","5,685,743","1,675,753","16,411,504",,,,,,"422,437",,,,"318,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"208,165","147,188",,"1,075,904","1,347,271","1,715,302","1,462,849","500,000"
Ecuador,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,133,096","1,367,373","1,594,583","3,092","1,376,781","1,006,239","1,291,504","914,839","710,097","716,961","144,682","133,948","746,005","2,315,924","2,020,907","1,662,235","1,600,086","2,160,583","2,230,456","1,449,206","2,126,720","694,223","679,802","666,926","785,898","646,693","1,531,766","26,537,563","2,690,340","30,076,224","36,409,637","36,688,373","33,836,611","28,726,829","18,405,109","401,809","451,674","7,498,779"
Ecuador,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,276,471","1,251,772","1,177,635","433,098",,"574,504","293,736",,"52,220",,,"905,466"
Ecuador,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,"422,437",,"3,777","1,367,373","1,275,666",,"421,342",,,"156,019","606,810","36,251","104,171","165,575",,"7,045",,"68,152","286,415","80,250",,"52,171","1,069,031","1,357,899","682,521","604,235","1,153,960","1,891,577","1,656,355","24,844","533,033","3,309,167","2,913,320","4,742,835","7,666,975","1,642,159","2,067,645","1,941,365","1,429,405","1,309,765"
Ecuador,Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,611,934","3,935,347","5,781,341",,,,,,,,"1,632,009","22,610,536",,,,"6,231,361",,,,,,
Ecuador,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"233,883","37,174","476,789","269,385","236,036","193,744","113,377","122,829",,"61,751","132,688","152,855","159,524","260,076","76,040","335,398","1,175,917","629,820","1,175,866","1,045,029","952,881"
Ecuador,Other USAID Assistance,,,,,,,"9,778,908","6,860,049","8,814,808","9,418,259","11,146,671","24,024,205","25,776,834","40,516,793","48,378,261","56,548,015","69,907,853","64,437,642","116,557,741","67,588,705","34,464,159","20,674,273","18,434,054","28,882,226","107,785,553","67,691,093","20,699,431","18,619,207","9,442,464","7,178,710",,,,"2,357,156","1,314,658","19,627,678","26,923,424","34,837,076","41,558,419","41,981,589","51,789,653","51,947,134","30,637,850","24,172,219","28,116,716","26,292,746","23,859,928","23,153,957","19,049,742","16,001,831","13,780,947","12,631,586","14,007,315","12,860,137",,,"1,864,780","2,039,200","3,228,452","3,015,321","2,372,490","1,787,344","3,289,719","3,454,869","3,241,184","3,353,459"
Ecuador,Other USDA Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"613,757",,,,,,,"92,000"
Ecuador,Peace Corps,,,,,,,,,,,,,,,,,"4,660,524","9,205,377","15,351,507","11,730,271","14,223,304","7,951,644","7,680,856","6,363,880","4,645,929","3,539,404","5,491,686","6,071,481","5,665,479","5,811,336","4,145,916","1,236,677","5,901,761","5,523,195","6,542,419","5,169,906","6,614,658","5,637,009","6,121,007","6,327,191","6,141,023","4,899,543","5,510,318","6,186,838","5,641,904","3,688,423","3,776,905","3,336,071","4,585,209","4,623,523","3,371,818","3,213,251","3,419,964","3,462,394","3,165,649","2,951,678","3,227,185","3,384,177","3,527,125","3,441,281","2,816,805","2,929,824","2,958,350","2,706,402","3,516,547","3,857,500"
Ecuador,Title I,,,,,,,,,,,"16,392,163","15,173,182","7,364,810",,,"13,547,962",,"21,862,771",,"7,820,181",,"6,361,315",,"10,280,114",,"21,236,421","4,224,374","35,214,587",,,,,,,,,,,,,"25,677,692","8,365,503",,,,,,,,,"607,743",,,,,"11,586,525","14,494,503","6,015,245",,"6,220,474","3,407,711","7,953,238",,,,
