country,program,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010
Angola,Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,003,767","6,759,568","5,379,701","9,439,296","8,042,743","11,737,301","7,666,290","15,422,009","23,516,675","3,078,354",,
Angola,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,891,082","6,628,132","3,569,171","7,210,539","5,708,374","10,957,799","6,226,419","6,854,193","8,141,449","7,347,968","11,827,695","18,897,460"
Angola,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,447,515",,,,,"6,549,147","6,851,066","897,870","625,886","1,956,611","3,838,929","4,623,091","4,448,962","2,764,731","6,656,026","1,965,596","1,929,251","1,108,367",
Angola,Food For Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,183,634"
Angola,Global HIV/AIDS Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,120,285","502,296","1,047,476","1,381,783","479,593","211,362","370,655"
Angola,Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,274,717","28,847,531","47,082,498"
Angola,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,333,853","1,637,811","5,470,104","4,633,591","103,947","5,625,256","1,876,756","8,131,135","3,905,630","3,518,771","6,132,653",,,,"2,300,000"
Angola,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,309,829","3,104,126",,"3,875,486","3,477,875","3,452,751","4,713,832","6,601,359","6,867,298","6,584,726","5,368,157","7,031,362","7,355,528","9,999,801"
Angola,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,094,400","1,363,642","2,534,767","1,761,815","2,811,979","172,351","9,472,789","3,334,924","7,508,437","7,165,536","1,821,470","10,160,484"
Angola,Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,840,443","42,664,843","11,314,006",,,,"3,916,290",,"25,063,117","13,647,413","5,255,610","457,407","1,271,769","330,134","3,539,077",,,,
